City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
369,Banes,CU,83.46,few clouds,20.9625,-75.7186,Hostal Iván y yailet
370,Vilhena,BR,84.42,clear sky,-12.7406,-60.1458,Hotel Mirage
372,Bontoc,PH,70.23,overcast clouds,17.0899,120.978,Chen's Maligcong Homestay
373,The Valley,AI,85.86,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
374,Sao Filipe,CV,78.4,few clouds,14.8961,-24.4956,Hotel Xaguate
380,Harrisonburg,US,86.52,scattered clouds,38.4496,-78.8689,Hampton Inn Harrisonburg - University
381,Tanabe,JP,81.21,overcast clouds,33.7333,135.3667,美吉屋旅館
382,Pathein,MM,76.82,overcast clouds,16.7833,94.7333,Pathein Hotel
385,Kigoma,TZ,75.4,broken clouds,-4.8769,29.6267,MJI Mwema Lodge
386,Mtwara,TZ,72.68,light rain,-10.2667,40.1833,TIL Hotels Mtwara
387,Srikakulam,IN,80.26,overcast clouds,18.3,83.9,Micro Systems
388,Casale Monferrato,IT,76.33,broken clouds,45.1334,8.4571,Hotel Candiani
390,Labuhan,ID,76.82,broken clouds,-6.8844,112.2051,DoubleFAG
394,Tonantins,BR,78.26,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
396,Qui Nhon,VN,78.12,overcast clouds,13.7667,109.2333,Seagull Hotel
399,Halifax,CA,71.49,overcast clouds,44.6453,-63.5724,Hotel Halifax
400,Morant Bay,JM,87.42,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
402,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
406,Oda,JP,81.37,overcast clouds,35.1833,132.5,Sky Hotel Oda
409,Huntsville,US,89.4,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
412,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
413,Gokak,IN,73.51,broken clouds,16.1667,74.8333,Basaveshwar Sabha Bhavan
414,Marigot,MF,85.78,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
415,Fortuna,US,74.93,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
416,Axim,GH,74.86,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
418,Machesney Park,US,79.21,scattered clouds,42.3472,-89.039,Village Inn Motel
420,Bubaque,GW,80.1,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
422,Kingston,JM,86.95,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
424,Kuching,MY,77.22,light rain,1.55,110.3333,Hilton Kuching
425,Carutapera,BR,78.22,broken clouds,-1.195,-46.02,Lidera
426,Tarabha,IN,75.18,overcast clouds,20.7333,83.65,Saroj Kumbhar Residence
428,Goshen,US,79.83,clear sky,41.5823,-85.8344,"Holiday Inn Express & Suites Goshen, an IHG Hotel"
430,Crowley,US,87.8,broken clouds,30.2141,-92.3746,"Motel 6 Crowley, LA"
431,Eyl,SO,78.17,broken clouds,7.9803,49.8164,Amiin Hotel
432,Mogadishu,SO,75.33,scattered clouds,2.0371,45.3438,Hotel Juba
434,Bambanglipuro,ID,75.38,broken clouds,-7.95,110.2833,Puri Brata
437,Torrijos,ES,88.84,clear sky,39.9819,-4.2835,Hotel La Salve
438,Havre-Saint-Pierre,CA,70.16,broken clouds,50.2334,-63.5986,Auberge Niapiskau
440,Salalah,OM,76.5,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
442,Trairi,BR,77.34,broken clouds,-3.2778,-39.2689,janelas do mar
446,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
448,Richmond,US,83.07,broken clouds,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
451,Beyneu,KZ,84.0,clear sky,45.3167,55.2,NUR
452,Balve,DE,72.09,clear sky,51.3333,7.8667,Hotel Haus Recke
453,Milos,GR,75.63,clear sky,36.75,24.4333,Agnánti
455,Chandia,IN,74.82,overcast clouds,23.65,80.7,Smile Hotel & DJ Road Light
456,Chitral,PK,74.59,scattered clouds,35.8462,71.7858,PTDC Motel Chitral
458,Omboue,GA,72.77,overcast clouds,-1.5746,9.2618,Hotel Olako
459,Florence,IT,78.73,clear sky,43.7667,11.25,Hotel Nuova Italia
460,Nortelandia,BR,71.2,clear sky,-14.4547,-56.8028,Pousada e Restaurante Santana
462,Jining,CN,77.76,scattered clouds,35.405,116.5814,Yunhe Star Hotel
463,Carauari,BR,83.88,broken clouds,-4.8828,-66.8958,Hotel Fellip
464,Smithers,CA,82.72,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
465,Abnub,EG,86.49,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
467,Tabou,CI,76.35,overcast clouds,4.423,-7.3528,hotêl doufoulougou
468,Harper,LR,76.33,overcast clouds,4.375,-7.7169,Screensaver
472,Santander,ES,72.72,clear sky,43.4647,-3.8044,Abba Santander Hotel
477,Ha Tinh,VN,76.3,moderate rain,18.3333,105.9,Phú Quý
479,Lompoc,US,78.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
480,Jambi,ID,74.82,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
482,Macau,MO,82.13,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
484,San Policarpo,PH,78.21,light rain,12.1791,125.5072,Agapita M. Nicart
485,Havelock,US,89.98,clear sky,34.8791,-76.9013,Sherwood Motel
486,Los Alamos,US,81.3,scattered clouds,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
488,Arcachon,FR,88.12,clear sky,44.5875,-1.0519,Hôtel All Suites Le Teich
491,Sabzevar,IR,72.68,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
493,Shaunavon,CA,84.6,overcast clouds,49.6501,-108.4181,Bear's Den Lodge
494,Awbari,LY,85.69,clear sky,26.5921,12.7805,فندق أوباري
495,Porto Walter,BR,82.94,few clouds,-8.2686,-72.7439,Hotel Silva
498,Constantine,DZ,74.61,few clouds,36.365,6.6147,Grand Hotel Cirta
499,Kavaratti,IN,80.78,scattered clouds,10.5669,72.642,Green leaf
500,Chapleau,CA,71.69,clear sky,47.8405,-83.4034,Nemegosenda Lake Lodge
504,Norrtalje,SE,70.84,clear sky,59.758,18.705,Norrtälje Vandrarhem Hvilan
505,Tucupita,VE,77.79,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
510,Portmore,JM,87.76,few clouds,17.9702,-76.8672,Grand Hotel Excelsior Port Royal
511,Iberia,US,78.96,overcast clouds,29.9502,-91.7507,back to back rv park
514,Khiri Mat,TH,75.24,overcast clouds,16.8333,99.8,ปั้นดินรีสอร์ท สุโขทัย
518,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
524,Kutum,SD,75.76,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
526,Bochil,MX,78.76,overcast clouds,16.9833,-92.9167,Motel EL CIPRES
