City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Kismayo,SO,2022-08-09 19:17:43,-0.3582,42.5454,75.36,85,98,18.16
106,Bethel,US,2022-08-09 19:12:53,41.3712,-73.414,94.42,58,40,9.22
107,Djenne,ML,2022-08-09 19:17:44,13.9061,-4.5533,83.8,72,98,4.03
108,Kabompo,ZM,2022-08-09 19:17:46,-13.5927,24.2008,63.14,24,0,6.08
109,Ilo,PE,2022-08-09 19:17:48,-17.6394,-71.3375,64.63,70,36,8.52
110,San Cristobal,VE,2022-08-09 19:17:49,7.7669,-72.225,87.98,40,67,8.63
111,Chokurdakh,RU,2022-08-09 19:17:51,70.6333,147.9167,51.71,88,2,6.76
112,Tazovskiy,RU,2022-08-09 19:17:51,67.4667,78.7,51.89,77,97,11.48
113,Antofagasta,CL,2022-08-09 19:17:34,-23.65,-70.4,56.48,55,15,10.11
114,Hasaki,JP,2022-08-09 19:17:52,35.7333,140.8333,81.28,88,96,21.72
115,Manutuke,NZ,2022-08-09 19:17:53,-38.6833,177.9167,49.84,84,100,12.91
116,Port Pirie,AU,2022-08-09 19:17:56,-33.1833,138.0167,59.09,38,100,16.46
117,Longyearbyen,SJ,2022-08-09 19:17:56,78.2186,15.6401,46.24,87,75,5.75
118,Belyy Yar,RU,2022-08-09 19:17:57,53.6039,91.3903,60.85,76,0,6.71
119,Vryheid,ZA,2022-08-09 19:17:58,-27.7695,30.7917,52.2,81,0,5.1
120,Dunedin,NZ,2022-08-09 19:17:59,-45.8742,170.5036,32.81,73,5,1.99
121,Yellowknife,CA,2022-08-09 19:15:21,62.456,-114.3525,64.92,72,40,10.36
122,Pevek,RU,2022-08-09 19:18:00,69.7008,170.3133,46.94,63,100,15.75
123,Broken Hill,AU,2022-08-09 19:18:01,-31.95,141.4333,48.31,53,100,10.67
124,Souillac,MU,2022-08-09 19:18:02,-20.5167,57.5167,68.38,68,75,12.66
125,Cayenne,GF,2022-08-09 19:17:20,4.9333,-52.3333,87.84,10,75,10.36
126,Tahta,EG,2022-08-09 19:18:03,26.7693,31.5021,93.54,26,1,12.08
127,Codrington,AU,2022-08-09 19:18:03,-38.2667,141.9667,40.77,80,100,9.62
128,Baruun-Urt,MN,2022-08-09 19:18:04,46.6806,113.2792,58.96,46,74,3.94
129,Balkanabat,TM,2022-08-09 19:18:05,39.5108,54.3671,89.98,28,64,2.82
130,Isangel,VU,2022-08-09 19:18:05,-19.55,169.2667,71.51,88,100,18.37
131,Thompson,CA,2022-08-09 19:15:05,55.7435,-97.8558,60.96,72,75,13.8
132,Ponta Do Sol,PT,2022-08-09 19:18:06,32.6667,-17.1,74.03,80,18,5.41
133,Balibago,PH,2022-08-09 19:18:07,15.1624,120.5954,79.32,78,75,2.3
134,Nagato,JP,2022-08-09 19:18:08,34.3833,131.2,78.85,88,86,6.17
135,Airai,TL,2022-08-09 19:18:08,-8.9266,125.4092,56.21,86,15,3.13
136,Darab,IR,2022-08-09 19:18:09,28.7519,54.5444,96.67,17,74,9.73
137,Porto Novo,BJ,2022-08-09 19:13:14,6.4965,2.6036,74.91,81,62,8.61
138,Necochea,AR,2022-08-09 19:15:39,-38.5473,-58.7368,54.01,50,6,3.8
139,Tiksi,RU,2022-08-09 19:18:10,71.6872,128.8694,54.88,72,100,15.59
140,Clyde River,CA,2022-08-09 19:18:11,70.4692,-68.5914,44.83,76,40,26.46
141,Upernavik,GL,2022-08-09 19:18:09,72.7868,-56.1549,41.18,89,100,15.95
142,Lata,PT,2022-08-09 19:19:12,40.1629,-8.3327,75.2,62,0,5.44
143,Los Llanos De Aridane,ES,2022-08-09 19:19:12,28.6585,-17.9182,71.35,86,0,11.5
144,Ballina,AU,2022-08-09 19:19:13,-28.8667,153.5667,51.01,83,78,11.01
145,Ribeira Grande,PT,2022-08-09 19:19:13,38.5167,-28.7,77.4,73,20,3.44
146,College,US,2022-08-09 19:19:14,64.8569,-147.8028,44.92,88,100,4.61
147,Nome,US,2022-08-09 19:19:14,64.5011,-165.4064,47.16,76,100,16.11
148,Lompoc,US,2022-08-09 19:19:14,34.6391,-120.4579,79.84,69,0,8.05
149,Tanout,NE,2022-08-09 19:19:15,14.9709,8.8879,90.91,37,10,5.28
150,Jatibonico,CU,2022-08-09 19:19:15,21.9419,-79.17,88.68,61,100,12.66
151,Elbistan,TR,2022-08-09 19:19:16,38.2059,37.1983,78.04,51,0,7.02
152,Puerto Escondido,MX,2022-08-09 19:19:18,15.85,-97.0667,88.63,58,40,5.75
153,Wangaratta,AU,2022-08-09 19:19:19,-36.3667,146.3333,35.31,97,48,3.44
154,Saint-Philippe,RE,2022-08-09 19:19:21,-21.3585,55.7679,67.59,71,50,16.93
155,Esperance,AU,2022-08-09 19:19:22,-33.8667,121.9,52.21,75,100,24.36
156,Severo-Kurilsk,RU,2022-08-09 19:19:25,50.6789,156.125,55.51,98,100,19.08
157,Grand Gaube,MU,2022-08-09 19:15:38,-20.0064,57.6608,68.4,71,63,3.0
158,Hambantota,LK,2022-08-09 19:19:26,6.1241,81.1185,77.72,83,100,15.32
159,Goderich,CA,2022-08-09 19:19:29,43.7501,-81.7165,68.32,68,19,11.5
160,Cortez,US,2022-08-09 19:19:32,37.3489,-108.5859,85.93,33,0,4.61
161,Rio Gallegos,AR,2022-08-09 19:19:33,-51.6226,-69.2181,46.45,76,0,4.61
162,Bredy,RU,2022-08-09 19:19:33,52.4153,60.3411,66.61,56,50,4.83
163,Coahuayana,MX,2022-08-09 19:19:34,18.7333,-103.6833,92.57,51,30,6.85
164,Camacha,PT,2022-08-09 19:19:35,33.0833,-16.3333,69.22,68,40,14.97
165,Saint-Georges,GD,2022-08-09 19:19:36,12.0564,-61.7485,87.48,74,20,23.02
166,Maralal,KE,2022-08-09 19:19:38,1.0968,36.698,61.77,72,100,5.57
167,Usinsk,RU,2022-08-09 19:19:39,65.9939,57.5281,50.4,67,100,6.42
168,Tingo Maria,PE,2022-08-09 19:19:42,-9.2895,-76.0088,82.71,65,40,2.3
169,Requena,ES,2022-08-09 19:19:42,39.4883,-1.1004,76.78,49,10,8.12
170,Traverse City,US,2022-08-09 19:19:43,44.7631,-85.6206,76.98,46,20,5.75
171,Ofaqim,IL,2022-08-09 19:19:44,31.3141,34.6203,76.71,63,0,6.4
172,Iracoubo,GF,2022-08-09 19:19:45,5.4802,-53.2011,84.79,70,98,13.67
173,Rock Springs,US,2022-08-09 19:19:46,41.5875,-109.2029,85.44,13,0,0.0
174,Springfield,US,2022-08-09 19:16:16,37.2153,-93.2982,83.03,85,100,3.44
175,Tsabong,BW,2022-08-09 19:19:47,-26.0217,22.401,61.52,23,0,4.45
176,Nuzvid,IN,2022-08-09 19:19:47,16.7833,80.85,76.3,88,100,6.82
177,Sept-Iles,CA,2022-08-09 19:16:03,50.2001,-66.3821,68.52,57,20,9.22
178,Athabasca,CA,2022-08-09 19:15:04,54.7169,-113.2854,70.21,43,0,1.54
179,Banda Aceh,ID,2022-08-09 19:19:49,5.5577,95.3222,79.27,84,91,13.78
180,Gaffney,US,2022-08-09 19:15:01,35.0718,-81.6498,92.8,52,73,7.23
181,Vega De Alatorre,MX,2022-08-09 19:19:50,20.0333,-96.6333,86.09,63,85,11.54
182,Sitka,US,2022-08-09 19:19:51,57.0531,-135.33,58.89,67,75,9.22
183,Sola,VU,2022-08-09 19:19:24,-13.8833,167.55,79.97,73,6,3.0
184,Bathsheba,BB,2022-08-09 19:19:53,13.2167,-59.5167,88.41,70,40,17.27
185,Manggar,ID,2022-08-09 19:19:53,-2.8833,108.2667,82.36,76,91,9.19
186,Amparafaravola,MG,2022-08-09 19:21:03,-17.5833,48.2167,54.61,95,4,5.66
187,Hofn,IS,2022-08-09 19:21:04,64.2539,-15.2082,52.34,95,100,23.8
188,Mochudi,BW,2022-08-09 19:21:05,-24.4167,26.15,55.99,26,0,2.73
189,Havoysund,NO,2022-08-09 19:21:06,70.9963,24.6622,53.83,85,100,20.02
190,Temiscaming,CA,2022-08-09 19:18:24,46.7212,-79.0971,72.91,49,11,3.44
191,Gondanglegi,ID,2022-08-09 19:21:06,-7.7479,112.0132,74.53,89,26,11.21
192,Araouane,ML,2022-08-09 19:21:07,18.9048,-3.5265,104.14,23,3,13.98
193,Adrar,MR,2022-08-09 19:21:07,20.5022,-10.0711,106.86,6,100,15.86
194,Nisia Floresta,BR,2022-08-09 19:21:08,-6.0911,-35.2086,84.58,70,17,11.61
195,Wajir,KE,2022-08-09 19:21:09,1.7471,40.0573,84.4,34,96,23.82
196,Salinas,US,2022-08-09 19:21:09,36.6777,-121.6555,84.0,55,0,11.5
197,Catuday,PH,2022-08-09 19:21:10,16.2923,119.8062,78.3,84,100,11.36
198,Kahului,US,2022-08-09 19:21:10,20.8947,-156.47,86.02,51,20,20.71
199,Norman Wells,CA,2022-08-09 19:21:11,65.282,-126.8329,64.44,68,100,4.61
