City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,66,95,29.3,overcast clouds
124,Bengkulu,ID,-3.8004,102.2655,76.01,91,40,3.65,scattered clouds
125,Carnarvon,AU,-24.8667,113.6333,58.78,34,0,15.77,clear sky
126,Southbridge,US,42.0751,-72.0334,84.25,58,100,4.12,overcast clouds
127,Madimba,TZ,-10.4,40.3333,71.73,83,60,8.75,light rain
128,Mar Del Plata,AR,-38.0023,-57.5575,57.22,58,0,9.22,clear sky
129,Fort Nelson,CA,58.8053,-122.7002,58.59,72,75,4.61,broken clouds
130,Codrington,AU,-38.2667,141.9667,46.27,93,100,3.06,overcast clouds
131,Kununurra,AU,-15.7667,128.7333,71.58,40,5,8.05,clear sky
132,Kruisfontein,ZA,-34.0033,24.7314,55.89,92,100,5.82,overcast clouds
133,Faya,SA,18.3851,42.4509,66.31,75,73,4.56,broken clouds
134,Provideniya,RU,64.3833,-173.3,48.36,93,100,8.99,fog
135,Granada,ES,37.25,-3.25,76.95,40,0,3.6,clear sky
136,Antofagasta,CL,-23.65,-70.4,58.28,78,7,6.08,clear sky
137,Malanje,AO,-9.5402,16.341,69.66,14,22,1.43,few clouds
138,Teguldet,RU,57.3064,88.1667,47.73,78,2,4.94,clear sky
139,Thompson,CA,55.7435,-97.8558,78.96,44,40,11.5,scattered clouds
140,Balkanabat,TM,39.5108,54.3671,85.41,22,0,12.71,clear sky
141,Sitka,US,57.0531,-135.33,64.29,77,75,3.44,broken clouds
142,Kemin,KG,42.7846,75.6892,60.94,74,52,3.11,broken clouds
143,College,US,64.8569,-147.8028,68.07,49,40,3.44,scattered clouds
144,Ocara,BR,-4.4908,-38.5967,74.14,80,98,6.82,overcast clouds
145,Jammalamadugu,IN,14.8333,78.4,79.48,68,98,16.73,overcast clouds
146,Touros,BR,-5.1989,-35.4608,76.33,82,16,10.4,few clouds
147,Nizwa,OM,22.9333,57.5333,91.22,42,100,0.56,overcast clouds
148,Hermanus,ZA,-34.4187,19.2345,58.8,72,100,13.89,overcast clouds
149,Ampere,BR,-25.915,-53.4728,53.44,88,2,3.4,clear sky
